地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
0,13000,,総数,Tokyo-to　,27142,296132,130710647,481551600,854521634,348473159,1219,85,1823,285,925,1067,4256,345,24,1449,490,1154,416,324,380,3901,802,2345,1189,626,1203,248,568,2018,31701,1483,7865,1222,5062,7884,50495,10940,361,10449,6138,5242,4323,3428,2806,22645,8147,18650,15180,10223,25740,9362,24259,12527,78090050,15060182,9144051,1707881,12424752,16621892,99476556,48670346,3749443,16584519,5820241,7909864,18154000,17667769,8372922,30374865,17154144,37493048,35881375,32879177,81748187,69395898,160861689,29278783
1,13100,,区部,All ku,22302,176300,69924591,185197923,360021618,163078475,861,43,1629,243,716,1003,3896,270,13,1177,476,1135,299,283,322,3354,658,1804,842,308,763,129,378,1700,15177,496,6699,1047,3111,6846,44474,8422,243,7561,2961,5185,2757,2824,1777,17941,4984,12416,8423,2401,6660,1418,3394,9083,35555226,1588426,8045141,1544364,4377674,14112497,87525585,37296645,x,11810827,3381944,7880324,10704840,14205847,5405192,23604949,9017043,21986008,21139685,3991717,11633490,x,6029567,14236770
2,13101,1,千代田区,Chiyoda-ku,247,2748,1258560,2398983,5549390,2930467,7,2,12,1,-,19,140,8,-,8,1,2,-,-,-,4,-,6,6,5,7,4,1,14,59,34,51,1,-,72,2007,42,-,39,5,4,-,-,-,24,-,59,93,23,77,64,1,93,414809,x,96165,-,-,165844,3672384,91681,-,172084,x,x,-,-,-,69207,-,160398,89366,42232,139092,183098,x,146690
2,13102,2,中央区,Chuo-ku,415,3418,1532917,3560178,7857882,3987516,52,3,37,2,5,14,217,13,1,10,1,2,-,-,-,8,3,4,5,5,6,5,2,20,455,17,213,10,14,72,2045,86,2,96,4,3,-,-,-,22,32,34,46,26,30,89,17,105,1098470,56725,418410,x,21048,125182,4738988,146201,x,352489,x,x,-,-,-,20379,182324,115560,82291,28500,45188,113295,x,262427
2,13103,3,港区,Minato-ku,264,2120,934812,2802575,5708402,2698797,18,2,20,1,9,4,99,6,-,3,-,-,4,4,-,27,5,17,8,7,10,4,2,14,372,11,74,1,34,25,816,80,-,13,-,-,68,9,-,78,77,174,85,30,62,52,12,47,1209138,x,125596,-,25895,23036,1697802,159902,-,24568,-,-,977051,4486,-,58984,130561,696611,180188,32246,90417,83062,x,117690
2,13104,4,新宿区,Shinjuku-ku,471,6879,3248516,12208058,19140257,6439997,18,1,33,3,15,27,284,7,-,5,1,2,1,1,1,11,1,9,14,5,5,3,1,23,246,21,106,10,47,166,5640,44,-,46,2,2,2,2,15,66,58,58,160,23,36,10,23,96,640537,x,118084,x,36076,324156,17010108,65577,-,69434,x,x,-,x,x,63075,x,100777,277890,24959,81457,9735,x,114412
2,13105,5,文京区,Bunkyo-ku,569,6000,2879036,5530515,11097715,5173278,20,-,26,7,7,23,336,6,-,7,-,8,9,1,2,12,2,5,32,6,7,2,1,50,203,-,118,37,21,85,4512,51,-,53,-,81,26,1,6,42,48,42,413,22,37,8,6,188,440507,-,134072,52440,33135,99066,8532515,115177,-,75425,-,183911,10864,-,-,36000,x,43542,818813,56166,91116,x,x,233195
2,13106,6,台東区,Taito-ku,1543,6985,2120163,5267162,10773683,5109975,47,1,111,29,57,111,269,8,-,42,35,314,15,2,14,135,3,25,25,6,15,2,9,268,459,3,427,76,230,633,1290,66,-,183,146,1317,47,3,31,443,16,146,155,30,82,17,41,1144,579815,x,546454,40619,243907,1309221,1781282,269687,-,627345,146455,2149668,21342,-,89910,329807,12507,362783,390544,85186,145421,x,48206,1504282
2,13107,7,墨田区,Sumida-ku,2154,14934,6045783,11089651,30149089,17946470,61,9,230,25,53,138,273,29,1,127,120,176,30,33,48,405,33,121,33,8,24,1,23,153,616,180,978,103,207,801,2374,2646,5,714,661,1059,338,292,134,1700,229,759,118,27,149,9,73,762,1146878,x,1518906,85619,262990,826361,3473068,12054182,x,824837,836140,1898494,436226,950947,168348,1808268,376871,837044,140290,43054,283681,x,92872,1123180
2,13108,8,江東区,Koto-ku,1350,13005,5330505,18152034,38362422,18775832,61,1,139,63,42,95,441,9,4,40,14,22,57,30,8,125,21,66,18,4,16,4,12,58,2299,7,406,464,262,618,4675,473,92,342,71,128,489,375,149,723,97,408,242,86,167,44,176,212,6160261,x,349247,1026731,573909,1109883,9653246,5727794,1003229,1131437,96048,217215,2741411,3229469,x,1350849,95516,815040,574488,140986,472402,x,480611,200734
2,13109,9,品川区,Shinagawa-ku,980,7036,2932675,6185528,12132710,5546102,35,1,17,4,25,14,111,10,-,90,10,4,16,7,19,167,59,149,39,35,85,21,26,36,383,7,62,8,71,85,1041,298,-,565,48,15,135,22,85,788,587,1006,218,196,680,143,413,180,715488,x,49894,2369,85361,286610,2372720,605153,-,879398,57743,x,442412,27275,112846,1141515,1112204,1564468,255093,264654,1131135,188867,573347,244353
2,13110,10,目黒区,Meguro-ku,325,2849,1178989,2592593,5434998,2638214,25,1,18,1,9,8,37,4,-,17,1,3,4,-,5,44,13,26,19,21,35,5,6,23,417,4,73,4,43,26,266,56,-,101,3,6,26,-,29,257,177,302,233,126,321,48,37,294,710369,x,125266,x,87388,15554,436933,56812,-,140375,x,3999,x,-,37696,525755,288551,652181,317563,121620,513377,94973,54733,972914
2,13111,11,大田区,Ota-ku,3068,24920,10348147,26708427,50879747,22511979,75,8,48,14,52,32,151,25,2,197,18,3,28,70,69,690,235,611,162,94,217,21,134,112,1615,122,267,59,207,246,1649,776,47,1645,214,24,304,483,389,4601,1629,4133,1665,823,2042,321,1150,509,4684928,288146,648592,115370,323864,417368,2727774,5671531,x,2591137,341271,x,1467500,1904875,1712438,6533347,3146998,7118570,2735856,1605485,3228383,666108,1901320,608879
2,13112,12,世田谷区,Setagaya-ku,334,2553,920448,2097154,4456841,2193152,34,1,25,4,18,8,55,11,-,7,5,-,9,1,5,27,6,14,29,14,25,5,1,30,474,3,118,22,96,34,406,104,-,24,30,-,120,3,24,127,28,105,284,135,202,31,6,177,804438,x,111221,x,186047,30700,557797,293719,-,21149,25859,-,634276,x,15809,183215,45029,193082,501359,205996,321203,46202,x,221308
2,13113,13,渋谷区,Shibuya-ku,173,1314,555491,1012469,2368935,1262066,9,1,31,-,8,6,45,4,-,5,1,-,1,-,1,10,1,-,7,3,13,3,1,23,48,2,146,-,18,37,573,34,-,16,2,-,1,-,4,39,2,-,51,34,135,20,1,151,24188,x,309429,-,10356,158704,892085,96986,-,20950,x,-,x,-,x,27269,x,-,47235,115932,252978,104193,x,263925
2,13114,14,中野区,Nakano-ku,230,1454,504441,949935,1997454,975206,17,3,31,5,15,3,59,4,-,3,-,1,3,-,1,14,3,7,13,4,10,3,3,28,421,21,199,8,35,7,273,18,-,8,-,1,8,-,2,86,18,60,106,16,44,8,25,90,536151,30427,159355,4109,26678,4581,306275,44383,-,1309,-,-,1500,-,-,126475,86163,123675,283711,12845,51797,11479,54190,132351
2,13115,15,杉並区,Suginami-ku,264,1520,552733,1178935,2540159,1273581,19,-,26,3,12,10,54,3,-,8,3,4,5,3,1,17,6,7,19,3,17,3,9,32,134,-,140,10,39,47,227,11,-,27,16,12,14,23,2,73,23,61,124,25,265,34,65,148,241796,-,166374,x,31162,53362,301214,2606,-,15359,3592,x,16002,72797,x,133731,12926,155201,313248,19035,403470,102097,269053,210360
2,13116,16,豊島区,Toshima-ku,445,3915,1778419,2990687,6544502,3313966,23,-,41,5,14,23,150,10,-,8,2,8,5,2,1,29,6,7,37,7,18,6,2,41,157,-,141,12,88,165,1936,105,-,72,12,31,33,4,4,131,69,27,245,100,123,59,9,392,299800,-,117298,14512,134922,378521,3195067,170474,-,184189,x,27571,107436,x,x,114492,101728,52873,394090,133185,245201,103413,x,732403
2,13117,17,北区,Kita-ku,644,8839,4222626,10253656,19972955,9144094,32,1,72,4,18,35,129,11,-,25,7,20,10,2,6,67,18,35,40,6,32,4,15,55,548,13,269,10,50,248,3874,714,-,128,53,116,36,2,38,343,102,309,732,43,254,26,223,708,614704,x,255454,2933,48686,397753,9164804,2231446,-,113568,66374,148320,138394,x,78411,640314,143688,590290,2367037,64350,565672,44089,447407,1826662
2,13118,18,荒川区,Arakawa-ku,1186,6801,2279671,5661818,9866703,3906614,39,2,81,13,56,83,211,10,-,76,20,92,8,5,16,183,23,49,41,10,30,5,8,125,514,31,275,30,195,392,1605,129,-,326,123,350,57,21,37,862,238,231,243,125,303,16,46,652,1393715,x,272197,22520,190753,484329,2282711,245131,-,229442,116397,417917,51845,24575,26337,885287,570733,300984,373586,234647,395137,x,55464,1218663
